settings "Ayarlar"
editor "Editör"
city_editor "Şehir Editörü"
tribute "Haraç"
rec_tribute "Haraç al"
choose "Seç"
relationship "İlişki"
map "Harita"
name "Ad"
leader "Lider"

district_resource_count_type "Bölge Kaynak Sayısı"
total_resource_count_type "Toplam Kaynak Sayısı"
district_population_type "Bölge Nüfusu"
total_population_type "Toplam Nüfus"
sanctuary_ready_type "Tapınak Hazır"

district_resource_count "Bölge %1 Sayısı %2"
total_resource_count "Toplam %1 Sayısı %2"
district_population "Bölge Nüfusu %1"
total_population "Toplam Nüfus %1"
sanctuary_ready "%1 Tapınağı Hazır"

conditions "Koşullar"

fog_of_war "Savaş Sisi"
no_fog_of_war "Savaş Sisi Yok"
cities_on_board "Haritadaki şehirler"
resize "Boyutlandır"
width "Genişlik"
height "Yükseklik"

generate "Üret"
water "Su"
forest "Orman"
forest_to_fertile "Orman / verimli"
fertile "Verimli"
empty_dry "Boş kurak"
scrub_dry "Çalılı kurak"
flat_stones "Düz kayalar"
tall_stones "Yüksek kayalar"
elevation "Yükselti"
city "Şehir"

clear "Temizle"

return "Geri dön"
add_city "Şehir ekle"
water_trade "Deniz ticareti"
land_trade "Kara ticareti"

none "Yok"

add "Ekle"

gift_of_from_long_name "%1 hediyesi"
gift_of_to "%2 için %1 hediyesi"
god_visit "Tanrı ziyareti"
receive_request_long_name "%1 %2 talebi alındı"
make_request "%2 şehrinden %1 talep et"
invasion_by "%1 istilası"
monster_attack "Canavar saldırısı"
receive_tribute_from "%1 şehrinden haraç al"
god_quest "Tanrı görevi"
god_quest_fulfilled "Tanrı görevi tamamlandı"
player_conquest_event_long_name "Oyuncu fethi"
player_raid_event_long_name "Oyuncu baskını"
raid_resource_long_name "Baskın ganimeti verildi"
army_returns_event_long_name "Ordu dönüyor"
military_change_long_name "Askeri değişim"
economic_change_long_name "Ekonomik değişim"
god_trade_resumes_long_name "Tanrı ticareti yeniden başlıyor"
request_aid_long_name "Yardım iste"
request_strike_long_name "Saldırı iste"
rival_army_away_long_name "Rakip ordu uzakta"
earthquake_long_name "Deprem"
tidal_wave_long_name "Dev dalga"
supply_change_long_name "Arz değişimi %1 %2"
supply_change_short_name "Arz değişimi"
demand_change_long_name "Talep değişimi %1 %2"
demand_change_short_name "Talep değişimi"
price_change_long_name "%1 fiyat değişimi"
price_change_short_name "Fiyat değişimi"
wage_change "Ücret değişimi"

triggers "Tetikleyiciler"

early "Erken"
comply "Kabul et"
refuse "Reddet"
too_late "Çok geç"
lost_battle "Kaybedilen savaş"

fulfilled_trigger "Tamamlandı"
killed_trigger "Öldürüldü"
base_trigger "Temel"

period: "Dönem:"
repeat: "Tekrar:"

hardcoded "Sabit"
automatic "Otomatik"

god_visit "Tanrı ziyareti"
pay_tribute "Haraç öde"
make_request "Talep et"
receive_request "Talep al"
gift_to "Hediye gönder"
gift_from "Hediye al"

iterative "Sıralı"
random "Rastgele"
gods "Tanrılar"

resume_game "Maceraya devam et"

resolution "Çözünürlük"

tiny_textures "Çok küçük dokular"
small_textures "Küçük dokular"
medium_textures "Orta dokular"
large_textures "Büyük dokular"

clear "Temizle"
restore "Geri yükle"
cancel "İPTAL"
close "Kapat"
both_directions "İki yön"
one_direction "Tek yön"

can_accept "Kabul edilebilir"

greetings "Selamlar,"

menu "MENÜ"
pause "DUR"
rotate "DÖN"
resume "DEVAM"
